Sportart,Sportartengruppe,Jahr,Jahreskurse,Saisonkurse,Sammellager,Total Kurse,Angebote,Kleingruppe,Grossgruppe,Kursdauer in Min. 90,Kursdauer in Min. 90 2,Trainings pro Woche 1,Trainings pro Woche 2,Trainings pro Woche 3,Trainings pro Woche 4,Trainings pro Woche 5,Wettkampf-kategorie 0,Wettkampf-kategorie 1,Wettkampf-kategorie 2,Wettkampf-kategorie 3,Trainingslagertage,Knaben,Mädchen,Total Teilnehmer,Anzahl tätige Leiter,Leiteraktivitäten,J+S-Kurspauschale,Coach entschädigung,Total Auszahlungen
Eisschnelllauf/ Short Track,Eislauf,2006,0,2,0,2,2,2,0,0,2,0,1,1,0,0,1,1,0,0,6,8,4,12,3,,1255,126,1381
Faustball,Turnen,2006,19,71,5,90,36,41,49,10,80,67,20,3,0,0,24,32,23,11,73,578,328,906,207,,59287,5880,65167
Fechten,Fechten,2006,77,78,5,155,38,30,125,33,122,95,34,21,5,0,70,35,26,24,51,1568,628,2196,321,,153366,15115,168481
Freitauchen,Freitauchen,2006,1,1,0,2,2,1,1,1,1,1,1,0,0,0,2,0,0,0,0,5,9,14,3,,1154,115,1269
Fussball,Fussball,2006,1199,8205,160,9404,1491,1245,8159,282,9122,2212,5527,1380,190,95,859,751,5725,2069,5436,124703,11070,135773,12710,,10696088,1067113,11763201
Geräteturnen,Geräte- und Kunstturnen,2006,597,650,12,1247,530,351,896,51,1196,666,492,83,6,0,455,489,201,102,655,3894,12336,16230,3300,,1220306,120013,1340319
Gymnastik und Tanz,Gymnastik und Tanz,2006,285,298,8,583,237,181,402,235,348,503,65,15,0,0,455,88,22,18,124,210,6683,6893,916,,349610,34643,384253
Handball,Handball,2006,660,336,30,996,200,119,877,66,930,378,461,126,23,8,191,313,344,148,1317,9530,4434,13964,1838,,1532092,152620,1684712
Inlinehockey,Rollsport,2006,40,24,1,64,25,22,42,4,60,33,29,2,0,0,10,18,19,17,45,707,29,736,112,,69392,6784,76176
Judo,Judo,2006,588,658,33,1246,254,313,933,445,801,1126,99,20,1,0,890,155,82,119,359,11104,4453,15557,2877,,760137,74387,834524
Ju-Jitsu,Ju-Jitsu,2006,49,86,2,135,63,52,83,43,92,113,19,3,0,0,133,0,2,0,37,914,652,1566,311,,69957,6383,76340
Karate,Karate,2006,479,446,24,925,174,205,720,547,378,508,345,70,2,0,609,204,84,28,337,7594,4062,11656,2236,,784773,75098,859871
Korbball,Turnen,2006,44,70,6,114,67,42,72,20,94,91,23,0,0,0,37,46,18,13,47,340,989,1329,204,,74549,7331,81880
Kunstradfahren,Radsport,2006,21,25,1,46,20,41,5,13,33,28,15,3,0,0,22,13,8,3,15,41,252,293,95,,22652,2155,24807
Kunstturnen,Geräte- und Kunstturnen,2006,104,84,6,188,105,107,81,13,175,47,47,48,32,14,55,58,35,40,290,875,787,1662,597,,246092,23789,269881
Landhockey,Landhockey,2006,55,20,6,75,20,14,61,8,67,39,35,1,0,0,19,27,18,11,70,715,292,1007,220,,92225,9206,101431
Leichtathletik,Leichtathletik,2006,556,830,64,1386,438,322,1064,123,1263,787,348,174,57,20,374,295,281,436,2054,9245,10307,19552,3698,,1496004,146137,1642141
Mountainbike,Radsport,2006,28,68,6,96,57,39,57,16,80,71,19,6,0,0,37,26,14,19,163,926,255,1181,314,,65397,6370,71767
Nationalturnen,Nationalturnen,2006,13,18,0,31,19,13,18,0,31,27,4,0,0,0,8,6,5,12,9,299,16,315,80,,20025,1964,21989
Orientierungslauf,Orientierungslauf,2006,27,71,10,98,53,31,67,18,80,84,12,2,0,0,16,10,13,59,261,694,520,1214,440,,69493,6774,76267
Quer (Radsport),Radsport,2006,4,7,0,11,9,8,3,1,10,7,2,2,0,0,7,0,2,2,12,91,12,103,27,,8068,786,8854
Radball,Radsport,2006,9,17,0,26,12,17,9,0,26,19,5,2,0,0,12,4,4,6,0,221,5,226,51,,18699,1730,20429
Reiten,Pferdesport,2006,124,195,17,319,55,276,43,182,137,294,20,3,2,0,276,7,17,19,308,109,1986,2095,436,,96190,9434,105624
Rettungsschwimmen,Schwimmsport,2006,74,90,0,164,53,50,114,108,56,157,6,1,0,0,130,21,11,2,28,805,1321,2126,548,,80042,7595,87637
Rhönrad,Rhönrad,2006,10,5,0,15,5,2,13,0,15,13,2,0,0,0,9,3,2,1,5,5,203,208,30,,13431,1289,14720
Rhythmische Gymnastik,Gymnastik und Tanz,2006,18,66,4,84,31,57,27,4,80,28,26,25,5,0,31,18,18,17,167,0,652,652,223,,68160,6747,74907
Ringen,Ringen,2006,38,12,1,50,25,12,38,1,49,19,23,8,0,0,9,8,15,18,113,517,33,550,146,,70195,6505,76700
Rock n` Roll,Gymnastik und Tanz,2006,49,7,3,56,18,26,30,26,30,38,12,5,1,0,40,9,5,2,51,207,361,568,112,,45153,4393,49546
Rollhockey,Rollsport,2006,9,28,0,37,10,11,26,1,36,10,24,3,0,0,3,18,10,6,0,382,57,439,69,,36074,3449,39523
Rollkunstlauf,Rollsport,2006,11,6,2,17,6,9,8,4,13,7,4,5,1,0,2,8,5,2,34,9,116,125,32,,15818,1424,17242
Rugby,Rugby,2006,18,5,1,23,9,9,14,1,22,12,11,0,0,0,8,9,4,2,27,305,7,312,56,,27181,2623,29804
Schwimmen,Schwimmsport,2006,489,416,35,905,184,304,601,523,382,520,163,113,63,46,597,117,85,106,1704,4291,5757,10048,1903,,936293,92536,1028829
Schwingen,Nationalturnen,2006,171,33,5,204,93,71,133,7,197,165,36,3,0,0,32,35,62,75,119,2396,16,2412,694,,191483,18634,210117
Speedskating (Rollsport),Rollsport,2006,4,13,1,17,9,10,7,2,15,14,2,1,0,0,7,1,1,8,15,83,50,133,45,,8526,853,9379
Squash,Squash,2006,21,27,0,48,14,26,22,20,28,45,2,1,0,0,21,5,1,21,42,260,128,388,80,,25811,2450,28261
Strasse (Radsport),Radsport,2006,28,40,1,68,43,44,24,5,63,43,10,8,0,7,18,9,13,28,195,480,59,539,215,,55690,5278,60968
Streethockey,Landhockey,2006,36,13,1,49,16,16,33,5,44,22,27,0,0,0,4,19,16,10,9,548,33,581,96,,58273,5827,64100
Synchronized Skating,Eislauf,2006,0,6,0,6,4,2,4,6,0,5,1,0,0,0,4,2,0,0,6,4,59,63,10,,2524,230,2754
Synchronschwimmen,Schwimmsport,2006,69,36,2,105,36,55,50,13,92,24,27,31,15,8,47,27,18,13,281,9,965,974,289,,163181,15433,178614
Tanzsport,Gymnastik und Tanz,2006,17,19,0,36,11,23,13,20,16,35,0,1,0,0,28,2,4,2,0,35,242,277,37,,13735,1372,15107
Tchoukball,Tchoukball,2006,23,3,0,26,5,6,20,0,26,25,1,0,0,0,16,7,3,0,0,211,83,294,61,,21806,2181,23987
Tennis,Tennis,2006,742,6414,49,7156,758,6430,726,4923,2233,6865,227,52,6,6,5942,586,250,378,840,22407,14295,36702,10326,,1515824,149872,1665696
Tischtennis,Tischtennis,2006,231,61,0,292,157,93,199,24,268,193,84,11,4,0,128,59,47,58,34,2552,478,3030,622,,277376,21611,298987
Trampolin,Geräte- und Kunstturnen,2006,19,17,2,36,18,23,13,2,34,18,13,5,0,0,16,3,14,3,31,117,201,318,108,,27618,2722,30340
Trial (Radsport),Radsport,2006,1,2,0,3,3,2,1,0,3,0,2,1,0,0,1,1,0,1,7,18,4,22,12,,2629,263,2892
Triathlon,Triathlon,2006,13,25,0,38,28,21,17,14,24,18,8,9,2,1,21,5,4,8,73,195,146,341,127,,34746,3326,38072
Turnen,Turnen,2006,1927,1983,48,3910,1351,1172,2738,755,3155,3469,415,20,4,2,2022,1382,346,160,1173,18532,29744,48276,9523,,2469259,240991,2710250
Unihockey,Unihockey,2006,634,310,30,944,236,147,797,68,876,510,372,56,6,0,228,512,173,31,851,10473,2472,12945,1619,,1148883,114773,1263656
Volleyball,Volleyball,2006,1052,578,40,1630,433,388,1242,136,1494,1173,389,56,9,3,626,465,356,183,946,3709,15357,19066,2902,,1621243,159596,1780839
Voltigieren (Pferdesport),Pferdesport,2006,52,31,7,83,28,53,30,30,53,45,36,2,0,0,39,28,16,0,155,18,728,746,95,,53074,5013,58087
Wasserball,Schwimmsport,2006,56,14,7,70,22,16,54,17,53,25,17,21,4,3,32,12,14,12,188,714,206,920,134,,127466,12345,139811
Wasserspringen,Schwimmsport,2006,22,24,4,46,12,40,6,8,38,20,17,7,0,2,23,11,8,4,68,196,182,378,90,,29682,2856,32538
Baseball/Softball,Baseball/Softball,2007,1,52,2,54,23,20,34,2,51,33,19,1,1,0,26,15,9,4,10,395,94,489,117,,26773,2677,29450
Basketball,Basketball,2007,546,263,10,810,165,57,753,46,763,189,434,164,19,4,163,215,269,163,507,7242,3188,10430,1416,,1253081,125316,1378397
BMX (Radsport),Radsport,2007,12,13,0,25,11,4,21,1,24,11,13,1,0,0,8,9,2,6,34,271,24,295,56,,29852,2985,32837
Curling,Curling,2007,4,76,1,80,28,52,28,2,78,52,28,0,0,0,22,26,14,18,9,370,274,644,162,,32599,3263,35862
Eishockey,Eishockey,2007,488,307,18,797,157,108,689,71,724,100,299,316,65,17,177,72,154,394,1659,11407,459,11866,2001,,1514552,151433,1665985
Eiskunstlauf/ Eistanz,Eislauf,2007,109,405,16,519,95,256,262,384,130,336,95,47,24,17,331,77,50,61,643,220,4345,4565,1113,,285301,28528,313829
Eisschnelllauf/ Short Track,Eislauf,2007,0,2,0,2,2,2,0,0,2,0,1,1,0,0,1,0,0,1,6,8,5,13,4,,1306,131,1437
Faustball,Turnen,2007,24,78,7,107,39,38,69,4,98,68,34,5,0,0,25,45,21,16,115,726,331,1057,236,,80229,8023,88252
Fechten,Fechten,2007,85,89,9,178,43,23,155,33,141,104,44,22,8,0,85,42,20,31,130,1687,790,2477,348,,173442,17348,190790
Freitauchen,Freitauchen,2007,0,3,0,3,1,0,3,1,2,3,0,0,0,0,3,0,0,0,0,16,15,31,3,,1140,114,1254
Fussball,Fussball,2007,1271,8910,179,10240,1557,1121,9119,211,9970,1313,6608,1913,270,136,870,870,6215,2285,5833,135668,14226,149894,14060,,12021859,1201072,13222931
Geräteturnen,Geräte- und Kunstturnen,2007,629,656,25,1293,528,268,1025,54,1231,637,528,119,9,0,502,486,198,107,743,3837,13059,16896,3570,,1262392,126159,1388551
Gymnastik und Tanz,Gymnastik und Tanz,2007,313,355,5,669,263,168,501,276,392,588,67,13,0,1,505,113,26,25,124,224,7396,7620,1014,,376120,37617,413737
Handball,Handball,2007,731,330,38,1069,205,74,995,55,1006,326,521,165,48,9,251,296,364,158,1414,10240,4865,15105,1907,,1673311,166848,1840159
Inlinehockey,Rollsport,2007,38,26,0,64,25,16,48,4,60,22,42,0,0,0,3,11,24,26,54,712,30,742,124,,84588,8458,93046
Judo,Judo,2007,647,794,54,1469,312,298,1168,463,978,1324,120,25,0,0,975,249,137,108,503,12757,5007,17764,3517,,851913,84746,936659
Ju-Jitsu,Ju-Jitsu,2007,85,83,5,170,85,61,109,47,121,144,23,3,0,0,153,13,1,3,34,1094,790,1884,391,,90134,9015,99149
Karate,Karate,2007,562,536,38,1112,224,233,877,675,423,574,435,87,15,1,795,196,75,46,578,8554,4922,13476,2620,,962026,95512,1057538
Korbball,Turnen,2007,48,71,12,127,67,39,88,22,97,100,26,1,0,0,49,43,28,7,92,451,1111,1562,288,,80676,8070,88746
Kunstradfahren,Radsport,2007,39,23,1,62,28,50,12,15,47,36,19,5,2,0,21,24,6,11,43,52,332,384,132,,33657,3365,37022
Kunstturnen,Geräte- und Kunstturnen,2007,108,104,3,213,120,116,97,3,209,45,51,48,49,20,70,57,46,40,428,876,931,1807,700,,282205,28223,310428
Landhockey,Landhockey,2007,55,15,5,72,17,17,55,3,67,32,38,2,0,0,20,36,12,4,66,571,281,852,204,,82451,8247,90698
Leichtathletik,Leichtathletik,2007,545,880,68,1467,453,335,1131,77,1348,779,384,200,71,33,420,308,247,492,1947,9203,10457,19660,3899,,1556621,155588,1712209
Mountainbike,Radsport,2007,34,85,9,124,73,47,76,11,108,94,24,5,0,1,68,20,11,25,168,1259,312,1571,374,,80153,8016,88169
Nationalturnen,Nationalturnen,2007,15,13,0,28,24,7,21,0,28,21,7,0,0,0,5,7,6,10,7,282,18,300,68,,21435,2144,23579
Orientierungslauf,Orientierungslauf,2007,35,106,13,150,73,51,97,12,129,116,28,6,0,0,20,19,23,88,467,930,793,1723,738,,116326,11501,127827
Quer (Radsport),Radsport,2007,1,7,0,8,6,4,4,0,8,4,3,1,0,0,4,1,0,3,34,52,6,58,19,,4706,471,5177
Radball,Radsport,2007,13,37,0,50,19,24,26,2,48,31,16,3,0,0,23,7,5,15,47,441,11,452,115,,35692,3264,38956
Reiten,Pferdesport,2007,133,204,35,353,59,283,63,153,184,326,23,4,0,0,289,26,8,30,467,95,2048,2143,472,,108531,10851,119382
Rettungsschwimmen,Schwimmsport,2007,78,122,2,202,64,57,145,128,72,189,12,1,0,0,149,49,4,0,53,924,1506,2430,607,,90694,8999,99693
Rhönrad,Rhönrad,2007,8,1,0,9,5,2,7,0,9,8,1,0,0,0,3,5,1,0,13,0,115,115,16,,7610,761,8371
Rhythmische Gymnastik,Gymnastik und Tanz,2007,24,67,1,92,38,52,40,1,90,18,25,37,10,2,31,19,19,23,88,0,700,700,226,,86392,8641,95033
Ringen,Ringen,2007,52,15,4,68,29,18,50,4,63,21,33,14,0,0,10,5,23,30,144,685,54,739,214,,97297,9730,107027
Rock n` Roll,Gymnastik und Tanz,2007,61,32,5,95,31,34,61,36,57,62,24,8,1,0,61,12,8,14,50,312,545,857,200,,67767,6775,74542
Rollhockey,Rollsport,2007,14,39,0,53,14,15,38,0,53,21,32,0,0,0,8,27,14,4,3,586,56,642,104,,47918,4792,52710
Rollkunstlauf,Rollsport,2007,9,3,2,12,4,7,5,2,10,7,2,3,0,0,6,3,1,2,18,6,86,92,24,,9228,923,10151
Rugby,Rugby,2007,25,4,1,29,12,2,27,1,28,12,17,0,0,0,6,14,7,2,50,425,10,435,82,,43634,4310,47944
Schwimmen,Schwimmsport,2007,510,437,48,965,190,258,707,563,384,570,142,118,79,56,617,160,81,107,1569,4535,6185,10720,2059,,943271,94327,1037598
Schwingen,Nationalturnen,2007,208,41,4,253,113,85,168,5,244,195,52,5,1,0,47,22,71,113,146,2903,33,2936,896,,236161,23629,259790
Speedskating (Rollsport),Rollsport,2007,1,11,0,12,7,7,5,0,12,11,1,0,0,0,6,0,1,5,0,59,41,100,40,,4287,430,4717
Squash,Squash,2007,18,42,1,61,18,35,26,15,45,54,5,2,0,0,23,6,9,23,21,304,140,444,96,,29574,2628,32202
Strasse (Radsport),Radsport,2007,31,38,0,69,46,43,26,4,65,42,18,6,0,3,15,11,11,32,181,492,106,598,248,,56813,5682,62495
Streethockey,Landhockey,2007,42,9,2,51,15,14,37,6,45,23,27,1,0,0,8,18,15,10,20,584,44,628,96,,58344,5834,64178
Synchronized Skating,Eislauf,2007,0,9,1,10,3,3,7,6,3,9,1,0,0,0,8,0,2,0,22,5,102,107,14,,5176,518,5694
Synchronschwimmen,Schwimmsport,2007,63,26,7,92,29,27,65,14,75,21,29,20,14,8,45,22,13,12,232,32,876,908,248,,148616,14863,163479
Tanzsport,Gymnastik und Tanz,2007,0,10,0,10,5,3,7,5,5,9,0,1,0,0,7,2,1,0,0,14,74,88,12,,3615,321,3936
Tchoukball,Tchoukball,2007,34,2,0,36,8,12,24,0,36,33,3,0,0,0,26,5,4,1,0,280,104,384,92,,27716,2772,30488
Tennis,Tennis,2007,859,6736,41,7625,740,6813,809,5298,2297,7289,262,54,11,9,6278,760,253,334,1126,23656,14516,38172,10720,,1600468,159769,1760237
Tischtennis,Tischtennis,2007,235,65,0,300,159,69,231,30,270,196,91,12,1,0,137,62,40,61,48,2647,404,3051,662,,271156,21776,292932
Trampolin,Geräte- und Kunstturnen,2007,17,23,1,40,24,24,16,1,39,19,16,4,1,0,15,16,7,2,22,100,194,294,99,,28841,2885,31726
Trial (Radsport),Radsport,2007,5,5,0,10,6,4,6,2,8,6,2,2,0,0,3,3,2,2,12,73,4,77,32,,8688,869,9557
Triathlon,Triathlon,2007,11,25,0,36,25,19,17,16,20,14,8,11,2,1,14,7,8,7,65,197,152,349,117,,33830,3383,37213
Turnen,Turnen,2007,2213,1996,54,4224,1415,925,3299,804,3405,3657,535,24,6,2,2231,1470,359,164,1046,19915,32149,52064,10441,,2712279,268877,2981156
Unihockey,Unihockey,2007,721,325,26,1049,250,116,933,55,991,494,472,76,7,0,199,624,193,33,785,11721,2735,14456,1802,,1314070,131048,1445118
Volleyball,Volleyball,2007,1188,505,56,1704,440,275,1429,109,1584,1147,474,69,8,6,653,556,342,153,793,3714,16380,20094,3082,,1745900,173482,1919382
Voltigieren (Pferdesport),Pferdesport,2007,34,56,1,91,31,59,32,17,73,47,28,13,2,1,45,30,15,1,212,19,687,706,116,,67994,6801,74795
Wasserball,Schwimmsport,2007,42,21,5,66,22,19,46,12,51,31,14,12,7,2,34,15,11,6,122,541,193,734,146,,88762,8876,97638
Wasserspringen,Schwimmsport,2007,14,19,3,36,9,27,9,5,28,23,10,2,1,0,25,8,1,2,31,134,106,240,61,,22022,2203,24225
BMX (Radsport),Radsport,2008,13,13,0,26,11,4,22,0,26,7,17,2,0,0,4,4,8,10,29,258,21,279,49,,35461,3535,38996
Badminton,Badminton,2008,336,128,14,478,161,137,340,100,364,386,54,16,3,5,248,101,59,70,199,3043,2522,5565,1115,,412727,41025,453752
Bahn (Radsport),Radsport,2008,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,27,3,30,3,,2761,276,3037
Baseball/Softball,Baseball/Softball,2008,0,45,1,46,17,29,17,2,43,31,13,1,0,0,31,8,6,1,15,297,105,402,101,,19619,1940,21559
Basketball,Basketball,2008,549,200,4,753,149,127,624,29,720,234,385,111,12,7,131,232,245,143,176,6547,2961,9508,1314,,1187141,118327,1305468
Curling,Curling,2008,10,78,0,88,34,66,22,5,83,69,19,0,0,0,27,31,11,19,9,380,291,671,183,,36981,3662,40643
Eishockey,Eishockey,2008,493,260,24,777,145,151,625,89,664,117,341,258,33,4,163,76,172,365,1554,11495,388,11883,2105,,1503291,149992,1653283
Eiskunstlauf/ Eistanz,Eislauf,2008,108,422,31,561,104,343,213,388,142,334,101,46,24,25,344,100,60,57,833,246,4438,4684,1194,,322160,31944,354104
Eisschnelllauf/ Short Track,Eislauf,2008,0,2,0,2,2,2,0,0,2,0,1,1,0,0,1,1,0,0,5,5,4,9,4,,1223,122,1345
Faustball,Turnen,2008,26,86,9,121,46,57,64,4,108,77,30,5,0,0,30,51,26,14,123,859,441,1300,288,,91564,9102,100666
Fechten,Fechten,2008,88,48,9,145,38,29,116,23,113,68,46,18,4,0,63,42,25,15,154,1435,621,2056,330,,166391,16565,182956
Freitauchen,Freitauchen,2008,2,1,0,3,1,0,3,0,3,1,2,0,0,0,3,0,0,0,0,17,15,32,6,,3298,328,3626
Fussball,Fussball,2008,1423,8018,144,9585,1435,1448,8105,79,9362,1466,6025,1629,235,86,815,793,5718,2227,4976,121685,14163,135848,13353,,11606780,1154566,12761346
Geräteturnen,Geräte- und Kunstturnen,2008,658,571,23,1252,519,392,859,44,1185,635,506,79,9,0,446,508,194,103,549,3650,12765,16415,3520,,1243816,123490,1367306
Gymnastik und Tanz,Gymnastik und Tanz,2008,323,296,6,625,237,197,428,261,358,529,81,9,0,0,471,110,24,20,147,247,7101,7348,979,,381138,37764,418902
Handball,Handball,2008,678,296,32,1006,202,138,866,28,946,329,461,140,36,8,211,273,354,166,1203,9524,4437,13961,1822,,1613634,160846,1774480
Inlinehockey,Rollsport,2008,47,23,1,71,28,14,57,2,68,31,39,0,0,0,6,24,20,21,20,802,45,847,142,,93596,9326,102922
Ju-Jitsu,Ju-Jitsu,2008,72,69,4,145,72,61,83,38,103,124,15,2,0,0,143,2,0,0,23,977,633,1610,333,,76831,7618,84449
Judo,Judo,2008,679,612,33,1324,280,448,874,453,838,1188,87,16,0,0,921,203,120,79,300,10995,4365,15360,3171,,780235,77326,857561
Karate,Karate,2008,504,417,25,946,209,285,657,568,353,495,344,67,14,1,705,142,76,22,296,6966,4043,11009,2254,,782231,77778,860009
Korbball,Turnen,2008,48,60,8,116,66,40,76,15,93,91,17,0,0,0,40,47,17,12,67,456,950,1406,257,,81953,8143,90096
Kunstradfahren,Radsport,2008,36,21,1,58,25,49,9,11,46,34,18,3,2,0,17,18,14,9,11,48,330,378,99,,34710,3447,38157
Kunstturnen,Geräte- und Kunstturnen,2008,92,77,0,169,96,106,63,2,167,41,44,42,28,14,61,57,29,22,281,602,794,1396,566,,215062,21430,236492
Landhockey,Landhockey,2008,60,15,7,82,18,33,49,1,74,39,33,3,0,0,25,30,22,5,54,653,316,969,196,,89493,8901,98394
Leichtathletik,Leichtathletik,2008,525,840,77,1442,453,403,1030,50,1315,767,344,177,60,17,435,298,242,459,1766,9112,10752,19864,4021,,1555700,154640,1710340
Mountainbike,Radsport,2008,54,85,9,148,80,73,74,5,134,112,22,5,0,0,72,27,12,37,195,1409,390,1799,486,,102656,10212,112868
Nationalturnen,Nationalturnen,2008,13,5,0,18,16,6,12,0,18,12,6,0,0,0,2,4,7,5,0,209,22,231,57,,16654,1659,18313
Orientierungslauf,Orientierungslauf,2008,33,77,21,131,66,64,65,12,98,89,18,3,0,0,29,15,11,75,285,857,721,1578,661,,88564,8811,97375
Quer (Radsport),Radsport,2008,4,6,0,10,8,6,4,0,10,5,4,1,0,0,3,1,2,4,21,76,15,91,46,,8623,860,9483
Radball,Radsport,2008,18,12,0,30,13,12,18,2,28,21,6,3,0,0,8,7,8,7,22,277,9,286,76,,29460,2933,32393
Reiten,Pferdesport,2008,135,293,37,465,69,427,24,215,213,392,22,11,3,0,400,32,16,17,567,124,2449,2573,609,,131630,12370,144000
Rettungsschwimmen,Schwimmsport,2008,69,129,0,198,68,60,138,137,61,192,6,0,0,0,174,20,4,0,37,978,1468,2446,587,,85590,8481,94071
Rhythmische Gymnastik,Gymnastik und Tanz,2008,32,59,1,92,31,64,28,1,90,31,23,27,8,2,31,16,14,31,92,0,694,694,228,,86667,8622,95289
Rhönrad,Rhönrad,2008,9,4,0,13,4,3,10,0,13,10,1,2,0,0,3,10,0,0,60,5,166,171,30,,16712,1665,18377
Ringen,Ringen,2008,51,6,6,63,24,19,44,1,56,20,26,10,1,0,12,12,15,24,121,633,63,696,223,,90017,8977,98994
Rock n` Roll,Gymnastik und Tanz,2008,48,21,3,72,26,42,30,20,49,47,14,8,0,0,48,10,10,4,29,236,407,643,156,,52039,5173,57212
Rollhockey,Rollsport,2008,11,41,1,53,12,14,39,0,52,18,34,0,0,0,9,28,13,3,13,524,81,605,97,,46542,4634,51176
Rollkunstlauf,Rollsport,2008,8,3,2,13,5,7,5,0,11,6,2,2,1,0,9,3,1,0,22,8,115,123,24,,10198,1014,11212
Rugby,Rugby,2008,31,6,1,38,14,10,27,1,36,26,11,0,0,0,8,19,7,4,22,625,21,646,94,,43235,4302,47537
Schwimmen,Schwimmsport,2008,517,390,45,952,186,336,616,521,386,518,147,118,72,52,605,150,99,98,1607,4519,5988,10507,2043,,966801,95089,1061890
Schwingen,Nationalturnen,2008,206,37,4,247,118,86,161,2,241,194,47,1,1,0,55,21,67,104,149,2787,54,2841,846,,240079,23906,263985
Speedskating (Rollsport),Rollsport,2008,2,10,0,12,9,8,4,1,11,6,5,1,0,0,5,1,3,3,10,53,39,92,42,,7338,731,8069
Squash,Squash,2008,24,61,0,85,23,59,26,27,58,77,6,2,0,0,35,9,5,36,10,424,178,602,185,,37412,3693,41105
Strasse (Radsport),Radsport,2008,34,25,3,62,37,40,22,5,54,40,12,4,0,3,16,10,9,27,235,470,76,546,228,,54537,5321,59858
Streethockey,Landhockey,2008,36,9,1,46,14,15,31,8,37,23,22,0,0,0,4,17,18,7,13,507,25,532,90,,53955,5371,59326
Synchronized Skating,Eislauf,2008,1,12,2,15,4,4,11,6,7,10,3,0,0,0,13,2,0,0,12,35,138,173,24,,6856,677,7533
Synchronschwimmen,Schwimmsport,2008,59,27,6,92,28,50,42,5,81,14,31,24,14,3,39,23,18,12,197,0,888,888,231,,138747,13830,152577
Tanzsport,Gymnastik und Tanz,2008,6,22,0,28,11,7,21,20,8,27,0,1,0,0,21,4,1,2,0,80,221,301,41,,11011,1050,12061
Tchoukball,Tchoukball,2008,37,1,0,38,14,15,23,0,38,32,6,0,0,0,25,8,3,2,0,289,113,402,81,,32593,3242,35835
Tennis,Tennis,2008,838,7029,51,7918,712,7173,734,5544,2323,7582,215,49,10,11,6893,516,205,293,1045,24781,14334,39115,11283,,1657718,162529,1820247
Tischtennis,Tischtennis,2008,238,65,2,305,154,99,206,18,285,202,84,11,6,0,137,60,44,64,47,2737,401,3138,704,,286687,25546,312233
Trampolin,Geräte- und Kunstturnen,2008,24,13,2,39,20,21,17,0,37,13,21,3,0,0,14,8,14,3,23,120,196,316,138,,37270,3708,40978
Trial (Radsport),Radsport,2008,2,9,0,11,5,8,3,4,7,10,1,0,0,0,6,5,0,0,6,80,3,83,27,,3943,390,4333
Triathlon,Triathlon,2008,20,20,5,45,28,25,19,13,27,11,12,12,3,2,16,6,14,8,118,242,172,414,179,,53431,5330,58761
Turnen,Turnen,2008,2240,1790,61,4091,1355,1231,2857,777,3253,3562,433,29,4,2,2213,1410,307,158,1143,18892,31664,50556,10317,,2717223,269116,2986339
Unihockey,Unihockey,2008,738,265,19,1022,248,164,858,34,969,537,401,61,4,0,198,587,194,43,745,10804,2766,13570,1731,,1309961,130438,1440399
Volleyball,Volleyball,2008,1181,496,49,1726,436,407,1317,64,1613,1227,400,43,5,2,647,585,367,125,638,3891,16540,20431,3139,,1748027,173357,1921384
Voltigieren (Pferdesport),Pferdesport,2008,36,50,0,86,30,49,37,6,80,40,28,16,2,0,44,18,16,8,206,17,624,641,137,,72332,7196,79528
Wasserball,Schwimmsport,2008,43,14,7,64,25,20,43,11,46,21,12,14,9,1,36,10,12,6,123,512,191,703,132,,103339,10306,113645
Wasserspringen,Schwimmsport,2008,10,21,0,31,10,24,7,3,28,16,11,2,2,0,20,8,0,3,24,133,101,234,53,,20151,2000,22151
Bahn (Radsport),Radsport,2009,4,0,0,4,2,1,3,0,4,4,0,0,0,0,1,1,1,1,0,57,8,65,15,,3350,333,3683
Baseball/Softball,Baseball/Softball,2009,0,30,2,32,15,29,3,2,28,13,15,1,1,0,16,5,6,3,9,164,44,208,88,,11690,1158,12848
Basketball,Basketball,2009,502,217,18,737,146,219,518,28,691,175,373,144,21,6,194,227,182,116,148,5507,2339,7846,1429,,1044161,104057,1148218
Curling,Curling,2009,6,67,0,73,34,58,15,3,70,51,22,0,0,0,26,8,13,26,7,278,223,501,184,,29616,2933,32549
Eishockey,Eishockey,2009,454,227,31,712,141,211,501,86,595,71,277,288,44,1,106,92,173,316,1383,8743,421,9164,2063,,1349326,134613,1483939
Eiskunstlauf/ Eistanz,Eislauf,2009,97,367,28,492,90,377,115,354,110,278,86,60,23,17,310,68,37,49,543,256,3318,3574,1234,,242125,23986,266111
Eisschnelllauf/ Short Track,Eislauf,2009,3,1,0,4,2,3,1,2,2,0,2,1,1,0,1,2,0,1,0,3,29,32,12,,3392,337,3729
Faustball,Turnen,2009,20,75,5,100,39,66,34,3,92,55,36,4,0,0,33,35,14,13,68,523,261,784,265,,63048,6261,69309
Fechten,Fechten,2009,73,70,5,148,37,59,89,29,114,77,38,23,5,0,82,20,13,28,55,1217,511,1728,385,,136966,13461,150427
Freitauchen,Freitauchen,2009,1,3,1,5,2,5,0,0,4,3,0,1,0,0,4,0,0,0,8,6,6,12,12,,1649,163,1812
